title,image,abstract,content
TP.HCM dự kiến xong dự án ngăn triều 10.000 tỉ vào tháng 12,https://cdn.tuoitre.vn/thumb_w/730/471584752817336320/2025/2/8/base64-1738993169282289771473.jpeg,"
            Chủ tịch UBND TP.HCM kết luận thành phố sẽ phấn đấu hoàn thành dự án ngăn triều 10.000 tỉ đồng và đưa vào sử dụng trước 31-12.
        ","Văn phòng UBND TP.HCM có văn bản truyền đạt kết luận của Chủ tịch Phan Văn Mãi tại buổi họp Tổ công tác dự án giải quyết ngập do triều khu vực TP.HCM có xét đến yếu tố biến đổi khí hậu (giai đoạn 1 - dự án ngăn triều 10.000 tỉ).Theo đó ngày 4-2, ông Phan Văn Mãi chủ trì buổi họp. Dự họp có lãnh đạo Sở Kế hoạch và Đầu tư, Sở Tài chính, Sở Tư pháp, Sở Xây dựng, Sở Tài nguyên và Môi trường, Sở Nông nghiệp và Phát triển nông thôn, Sở Quy hoạch - Kiến trúc, Sở Giao thông vận tải, Ban Quản lý dự án đầu tư xây dựng hạ tầng đô thị và Trung tâm Phát triển quỹ đất."
TP.HCM dẫn đầu cả nước về phát triển hạ tầng số,https://cdn.tuoitre.vn/thumb_w/730/471584752817336320/2025/2/8/ha-tang-so-tphcm-chuyen-doi-so-dthien-17389917652591858832228.png,"
            TP.HCM có hệ thống viễn thông, Internet băng rộng hiện đại, phủ sóng rộng khắp, đáp ứng tối đa nhu cầu kết nối, trao đổi thông tin của người dân và doanh nghiệp.
        ","Theo bảng xếp hạng Chỉ số Chuyển đổi số (DTI) năm 2023 do Bộ Thông tin và Truyền thông vừa công bố, TP.HCM tiếp tục dẫn đầu trong chuyển đổi số quốc gia, với nhiều thành quả nổi bật được ghi nhận.Theo bảng xếp hạng, TP.HCM tiếp tục xếp hạng 1 về chỉ số phát triển hạ tầng số, với hệ thống viễn thông, Internet băng rộng hiện đại, phủ sóng rộng khắp, đáp ứng tối đa nhu cầu kết nối, trao đổi thông tin của người dân và doanh nghiệp."
Trung bình mỗi tháng 49.000 túi mù được bán trên chợ mạng,https://cdn.tuoitre.vn/thumb_w/730/471584752817336320/2025/2/8/anh-man-hinh-2025-02-08-luc-122340-1738992229326650849413.png,"
            Trào lưu 'xé túi mù' bùng nổ, mang về doanh thu khủng cho các nhà bán hàng trên sàn thương mại điện tử năm 2024, với hàng chục nghìn sản phẩm được bán mỗi tháng.
        ","Theo Báo cáo doanh thu các sàn thương mại điện tử quý 4-2024 do Công ty khảo sát thị trường YouNet ECI công bố, trào lưu ""xé túi mù"" không chỉ bùng nổ mạng xã hội mà còn có doanh số ấn tượng trên các nền tảng thương mại điện tử. Trong 6 tháng cuối năm 2024, lượng thảo luận về túi mù trên Facebook và TikTok đạt hơn 390.000 lượt, đồng thời tạo ra doanh số đáng kinh ngạc."
Robot chưa tới 1mm sẽ thay đổi ngành phẫu thuật thế giới,https://cdn.tuoitre.vn/thumb_w/730/471584752817336320/2025/2/8/robot-nho-nhat-the-gioi-1-1738985224756609191442.jpg,"
            Một robot y sinh mới có đường kính chỉ 0,95mm đang thu hút sự chú ý của giới y khoa.
        ",Robot này nhỏ hơn 60% so với các dụng cụ tương tự hiện nay. Nó hứa hẹn nâng cao độ chính xác và giảm thiểu tác động trong phẫu thuật xâm lấn tối thiểu. Robot được phát triển tại Trường Kỹ thuật của Đại học Khoa học và Công nghệ Hong Kong (HKUST). Nhóm do phó giáo sư Yajing Shen từ khoa kỹ thuật điện tử và máy tính dẫn dắt. 
Ra giêng anh cưới em - Kỳ 1: Đám cưới đơn sơ ở Hà thành của nhạc sĩ tập kết,https://cdn.tuoitre.vn/thumb_w/730/471584752817336320/2025/2/8/dam-cuoi-1738987778390645358738.jpg,"
            'Cuối trời mây trắng bay/ Lá vàng thưa thớt quá/ Phải chăng lá về rừng/ Mùa thu đi cùng lá/ Mùa thu ra biển cả/Theo dòng nước mênh mang…/ Tuổi theo mùa đi mãi/ Chỉ còn anh và em/ Cùng tình yêu ở lại'.
        ","Bài Thơ tình cuối mùa thu của Xuân Quỳnh được cố nhạc sĩ Phan Huỳnh Điểu phổ nhạc như chính loạt bài về các lễ cưới đầy hoài niệm này. Những mối tình được đơm hoa kết trái bằng lễ cưới một thời nghèo khó, đơn sơ nhưng ấm nồng mãi yêu thương.Buổi sáng đầu năm nắng dìu dịu, nhạc sĩ Trương Quang Lục (92 tuổi) cùng vợ là bà Nguyễn Thị Vân (90 tuổi) lần giở cuốn album nhuốm màu thời gian cùng những tấm ảnh đen trắng chụp vợ chồng với vẻ tươi nhuần mà ông rất quý."
Tuyển Việt Nam đá giao hữu với Campuchia thay vì Myanmar,https://cdn.tuoitre.vn/thumb_w/730/471584752817336320/2025/1/10/tien-linh-ngay-10-1-2025-read-only-17365229754291058708177.jpg,"
            Do Myanmar không thể đá giao hữu như dự kiến, đội tuyển Việt Nam đã chọn đá giao hữu với Campuchia nhân dịp FIFA Days tháng 3 sắp tới.
        ","Sáng 8-2, Liên đoàn Bóng đá Campuchia (FFC) đã công bố đội tuyển nước này sẽ đá giao hữu với đội tuyển Việt Nam nhân dịp FIFA Days tháng 3 tới.   ""Theo lời mời của Liên đoàn Bóng đá Việt Nam (VFF), đội tuyển Campuchia sẽ có trận giao hữu quốc tế với đội tuyển Việt Nam - nhà vô địch ASEAN Cup 2024 vào ngày 19-3 tới tại Bình Dương"", FFC viết trên fanpage chính thức."
Được mùa thơ phú,https://cdn.tuoitre.vn/471584752817336320/2025/2/4/qdi8678-1738636208284720562745.jpg,"
            Tháng giêng có Tết Nguyên tiêu/Thi nhân ta có ngày thơ tuyệt vời/Thế là ta được làm thơ/Được mùa thơ phú như là hội xuân.
        ",Thơ ta vui vẻ lá hoaTrời trăng mây gió mơ màng đẹp sao
"10 năm liền, ra xuân là xin vỏ lon gây quỹ tặng quà khuyến học",https://cdn.tuoitre.vn/thumb_w/730/471584752817336320/2025/2/8/base64-17389899540201828521577.jpeg,"
            Mỗi dịp hết Tết Nguyên đán, thanh niên thôn An Mỹ lại đi từng nhà xin vỏ lon, vỏ chai bán để gây quỹ khuyến học tặng học sinh trong thôn.
        ","Sáng 8-2, anh Hồ Quang Phước - bí thư Chi đoàn thanh niên thôn An Mỹ, xã Cam Tuyền (huyện Cam Lộ, Quảng Trị) - cho hay Đoàn thanh niên thôn vừa kết thúc đợt thu gom vỏ lon, phế liệu sau Tết Ất Tỵ.Việc làm này kéo dài trong suốt 10 năm qua, diễn ra ngay sau dịp Tết Nguyên đán."
Israel ra lệnh cấm sĩ quan chỉ trích kế hoạch Gaza của ông Trump,https://cdn.tuoitre.vn/thumb_w/730/471584752817336320/2024/4/16/nd24416-ngoai-truong-israel-israel-katz-1713260153017669460898.jpeg,"
            Bộ trưởng Quốc phòng Israel đã yêu cầu khiển trách người đứng đầu cơ quan tình báo quân đội nước này, vì một số bình luận được cho là chỉ trích kế hoạch tiếp quản Gaza của ông Trump.
        ","Theo Hãng tin AFP, hôm 7-2, Bộ trưởng Quốc phòng Israel, ông Israel Katz, đã cảnh báo các sĩ quan không được lên tiếng phản đối kế hoạch ""tiếp quản"" Gaza của Tổng thống Mỹ Donald Trump.""Sẽ không có chuyện các sĩ quan Lực lượng Phòng vệ Israel (IDF) lên tiếng phản đối kế hoạch quan trọng của Tổng thống Mỹ Trump về Gaza, cũng như phản đối các chỉ thị từ giới lãnh đạo chính trị"", ông Katz nêu trong một tuyên bố."
Hai du khách tử vong sau khi chủ nhà nghỉ phun thuốc diệt rệp,https://cdn.tuoitre.vn/thumb_w/730/471584752817336320/2025/2/8/rep-1738989010812476887508.jpg,"
            Một du khách đến từ Anh và một du khách đến từ Đức tử vong, nghi do ngộ độc thuốc trừ sâu sau khi chủ nhà nghỉ mà họ lưu trú ở Sri Lanka phun thuốc diệt rệp.
        ","Đài CNN đưa tin hôm 7-2, hai nữ du khách gồm chị Ebony McIntosh (24 tuổi, đến từ Anh) và chị Nadine Raguse (26 tuổi, quốc tịch Đức) tử vong ít lâu sau khi chủ một nhà nghỉ ở Sri Lanka phun thuốc diệt rệp.Trả lời Hãng tin PA Media của Anh, người phát ngôn Cơ quan cảnh sát Sri Lanka Buddhika Manatunga xác nhận cả hai nữ du khách đột ngột phát bệnh, sau khi chủ nhà nghỉ Miracle Colombo City phun thuốc diệt rệp tại một phòng nghỉ. Riêng chị McIntosh đã phải nhập viện từ ngày 1-2."
"Đắt hàng tại Việt Nam, Mitsubishi dự đoán bán ít xe hơn tại Đông Nam Á",https://cdn.tuoitre.vn/thumb_w/730/471584752817336320/2025/2/6/2025-mitsubishi-outlander-sport-1738835285869432206985.jpg,"
            Mitsubishi hứa hẹn có một năm tài khóa 2024 tăng trưởng, nhưng thấp hơn kỳ vọng ban đầu khá nhiều.
        ","Vào đầu tháng 2 này, Mitsubishi đã phải cấp tốc điều chỉnh kỳ vọng doanh số và doanh thu của mình vào năm tài khóa 2024 (kết thúc khi hết tháng 3-2025). Cụ thể, thương hiệu Nhật ước tính doanh thu ròng của mình dự kiến rơi vào mức 35 tỉ yen. Con số này thấp hơn 76% so với mức 144 tỉ được công bố hồi tháng 5 năm ngoái."
Ông Trump bị kiện vì ép địa phương hợp tác trục xuất dân nhập cư,https://cdn.tuoitre.vn/thumb_w/730/471584752817336320/2025/2/8/2025-02-08t013110z919196444rc20qca6o5szrtrmadp3usa-trump-17389896411781813737950.jpg,"
            Liên minh các thành phố Mỹ đã kiện chính quyền ông Trump, cáo buộc bị ép hợp tác trong chiến dịch trấn áp dân nhập cư bằng cách đe dọa cắt ngân sách và truy tố.
        ","Hãng tin Reuters đưa tin một liên minh gồm các thành phố và hạt của Mỹ đã đệ đơn kiện chính quyền Tổng thống Trump vào ngày 7-2, thách thức sắc lệnh hành pháp của ông Trump khi yêu cầu các khu vực được gọi là ""thành phố trú ẩn"" phải hợp tác với chiến dịch trấn áp người nhập cư và trục xuất hàng loạt của chính quyền liên bang.Cụ thể, các thành phố và hạt do San Francisco và hạt Santa Clara (California) dẫn đầu đã đệ đơn kiện, cáo buộc chính quyền Tổng thống Trump cưỡng ép các quan chức địa phương hợp tác bằng cách đe dọa cắt giảm ngân sách hoặc truy tố họ."
"Bệnh cúm tại Việt Nam gia tăng cục bộ, chưa ghi nhận tác nhân mới",https://cdn.tuoitre.vn/thumb_w/730/471584752817336320/2025/2/5/z6289902770804f38129c29c4d4e6c893c2e7b8bf8c066-173874451515181156972.jpg,"
            Theo Bộ Y tế, tại Việt Nam dù số ca cúm có gia tăng cục bộ từ cuối năm 2024 và dịp Tết Nguyên đán, tuy nhiên không có sự gia tăng đột biến so với hằng năm, các tác nhân chủ yếu là cúm A/H3N2, A/H1N1 và cúm B.
        ","Ngày 8-2, Bộ Y tế có văn bản gửi các tỉnh, thành phố đề nghị tăng cường phòng, chống bệnh cúm, sởi và các bệnh lây truyền qua đường hô hấp.Bộ Y tế nêu rõ theo Tổ chức Y tế thế giới (WHO), bệnh sởi vẫn có xu hướng gia tăng tại nhiều quốc gia trên thế giới. Cùng với đó, tỉ lệ mắc các hội chứng cúm, nhiễm trùng đường hô hấp cấp tính cũng gia tăng từ cuối năm 2024, nhất là tại các quốc gia trong khu vực Bắc bán cầu."
Tìm thấy nữ sinh mất tích trước Tết ở Trung Quốc,https://cdn.tuoitre.vn/thumb_w/730/471584752817336320/2025/2/8/base64-1738992818286808899673.jpeg,"
            Liên quan vụ nữ sinh năm 4 ở TP.HCM bất ngờ mất tích từ trước Tết, tin mới nhất cho biết cô đã được tìm thấy ở Trung Quốc, dự kiến ngày mai 9-2 về tới Việt Nam.
        ","Trao đổi với Tuổi Trẻ Online ngày 8-2, ông Nguyễn Việt Dũng, tổng lãnh sự Việt Nam tại Quảng Châu (tỉnh Quảng Đông, Trung Quốc), cho biết Tổng lãnh sự quán đã nhận được email đề nghị giúp đỡ của gia đình công dân Lìu Ngọc Hằng chiều 7-2, sau khi nữ sinh mất tích từ trước Tết. Tổng lãnh sự quán sau đó đã liên hệ lại gia đình công dân và được gia đình cho hay đã liên hệ với cơ quan xuất nhập cảnh ở Quảng Châu và tìm thấy Hằng, dự kiến Hằng sẽ về Việt Nam trên chuyến bay tối nay 8-2."
"Thiếu tài xế xe buýt, TP.HCM khẳng định: 'Không ảnh hưởng đi lại của người dân'",https://cdn.tuoitre.vn/thumb_w/730/471584752817336320/2025/2/8/base64-17389903240531985658885.jpeg,"
            Đó là vấn đề nhiều người dân, bạn đọc quan tâm trước thực trạng thiếu hàng trăm tài xế xe buýt ở TP.HCM hiện nay.
        ","Một số bạn đọc Tuổi Trẻ Online lo lắng việc thiếu tài xế xe buýt sẽ ảnh hưởng tới hoạt động các tuyến buýt, cắt lịch trình chạy khiến người dân đi lại không thuận tiện. Mới đây, Sở Giao thông vận tải TP.HCM báo cáo UBND TP.HCM về hoạt động vận tải hành khách công cộng bằng xe buýt khi thực hiện Luật Trật tự, an toàn giao thông đường bộ."
Chủ tịch TP.HCM tham vấn chuyên gia về tăng trưởng hai con số trước biến động thế giới,https://cdn.tuoitre.vn/thumb_w/730/471584752817336320/2025/2/8/base64-17389919035011254716934.jpeg,"
            Với độ mở lớn, nền kinh tế TP.HCM sẽ chịu tác động rất lớn trước biến động của nền kinh tế thế giới. Chuyên gia gợi ý TP.HCM áp dụng nghị quyết 98, để thúc đẩy tăng trưởng hai con số trong tình hình mới.
        ","Sáng 8-2, Chủ tịch UBND TP.HCM Phan Văn Mãi chủ trì phiên họp Hội đồng Tư vấn triển khai thực hiện nghị quyết 98. Một trong những vấn đề quan trọng được hội đồng đưa ra thảo luận tại phiên họp lần này là các giải pháp giúp TP.HCM tăng trưởng hai con số, trước bối cảnh tình hình thế giới đang biến động mạnh. Phát biểu mở đầu phiên họp, TS Trần Du Lịch - chủ tịch hội đồng - đặt vấn đề kinh tế thế giới những ngày qua đang biến động dữ dội trước hàng loạt chính sách mới mà tổng thống Mỹ đưa ra. "
Đèn âm hồn vượt mặt phim Trấn Thành; Chuyên gia lý giải cơn sốt Na Tra,https://cdn.tuoitre.vn/thumb_w/730/471584752817336320/2025/2/7/den-am-hon-a-81905379941285206343008-convertio-1738926211091663639949.jpg,"
            Một số tin tức nổi bật: Phim kinh dị Đèn âm hồn bất ngờ vượt doanh thu phim Trấn Thành, Thu Trang; Đức Phúc hé lộ nhóm nhạc 5 Anh trai say hi; Chuyên gia lý giải cơn sốt Na Tra: Ma đồng náo hải...
        ","Ra mắt ngày 7-2, Đèn âm hồn nhanh chóng tạo bất ngờ khi vươn lên dẫn đầu doanh thu phòng vé, vượt qua Nụ hôn bạc tỉ của Thu Trang và Bộ tứ báo thủ của Trấn Thành.Tính đến trưa 8-2, Đèn âm hồn vẫn giữ vị trí số một với doanh thu 6,1 tỉ đồng, tổng doanh thu sau hai ngày đầu ra mắt là hơn 20 tỉ đồng. "
"Thu vé 30.000 đồng, khách vào rung cành mận hoa rụng lả tả, chủ vườn xót xa",https://cdn.tuoitre.vn/thumb_w/730/471584752817336320/2025/2/8/gif-17389860012671784484389.gif,"
            Muốn có bức ảnh đẹp, 3 du khách đã không ngại rung cành mận khiến hoa rơi rụng lả tả, chủ vườn ở Lào Cai không khỏi xót xa.
        ","Ngay khi xuất hiện trên mạng xã hội, hành động kém đẹp của 3 nữ du khách trên đã khiến cư dân mạng bức xúc. Video chỉ vỏn vẹn 12 giây ghi lại khoảnh khắc một cô gái mạnh tay rung cành mận khiến hoa rụng lả tả để người bạn có bức ảnh, video lãng mạn như trên phim."
Nguyễn Văn Chung quay MV 300 ca khúc thiếu nhi để Cùng con tập hát,https://cdn.tuoitre.vn/thumb_w/730/471584752817336320/2025/2/8/base64-17389892681302086451996.jpeg,"
            Sau khi hoàn thành 300 clip hướng dẫn tập hát, nhạc sĩ Nguyễn Văn Chung bắt tay quay MV 300 ca khúc thiếu nhi dành tặng các bạn nhỏ.
        ","Trao đổi với Tuổi Trẻ Online, nhạc sĩ Nguyễn Văn Chung cho biết đến nay anh đã hoàn thành cơ bản dự án Cùng con tập hát được công bố vào tháng 5-2023. Nhạc sĩ Nguyễn Văn Chung đã đăng tải 300 clip dạy hát trên kênh YouTube 300 bài hát thiếu nhi, với hơn 8,7 triệu lượt xem. "
Tuyển Malaysia thách thức Việt Nam,https://cdn.tuoitre.vn/thumb_w/730/471584752817336320/2025/2/8/peter-cklamovski-17389846036641100332575.png,"
            Trước thềm vòng loại cuối cùng Asian Cup 2027, tuyển Malaysia quyết tâm thi đấu tốt để vượt mặt Việt Nam và giành vé dự vòng chung kết.
        ","Quyết tâm của ""những chú hổ Harimau"" được thể hiện ở việc Liên đoàn Bóng đá Malaysia (FAM) tích cực đẩy nhanh quá trình nhập tịch một số cầu thủ châu Âu có gốc Malaysia để kịp dự vòng loại cuối cùng Asian Cup 2027. Theo báo chí Malaysia, FAM đã hoàn tất thủ tục nhập tịch cho tiền đạo Ferdy Druijf (26 tuổi).Druijf có cha là người Hà Lan và mẹ mang quốc tịch Malaysia. Do đó anh sẽ được thi đấu cho tuyển Malaysia ngay lập tức. Druijf sở hữu chiều cao ấn tượng lên đến 1m90 và trưởng thành từ lò đào tạo nổi tiếng của bóng đá Hà Lan là AZ Alkmaar. "
